Date,BGN,DKK,EUR,GBP,ISK,CSD,NOK,PLN,RON,HUF,SEK,CHF,CZK,CYP,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,INR,NZD,RUB,AZN,BYR,EEK,TMM,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS
01-Jan-07,1.1536,0.3026,2.2562,3.361,0.2411,2.8468,0.273,0.5896,0.6676,0.8974,0.2493,1.4042,0.0822,3.9085,1.7135,1.4766,1.3545,0.3004,1.2178,0.1441,0.4666,0.1857,0.4063,1.1185,5.9272,0.2195,0.2204,0.0387,1.208,0.065,1.9662,0.8001,1.4421,0.3295,3.1968,6.5142,1.3309,0.4715,0.5001,1.3819,3.3995,0.1352,0.4533
02-Jan-07,1.1536,0.3026,2.2562,3.361,0.2411,2.8468,0.273,0.5896,0.6676,0.8974,0.2493,1.4042,0.0822,3.9085,1.7135,1.4766,1.3545,0.3004,1.2178,0.1441,0.4666,0.1857,0.4063,1.1185,5.9272,0.2195,0.2204,0.0387,1.208,0.065,1.9662,0.8001,1.4421,0.3295,3.1968,6.5142,1.3309,0.4715,0.5001,1.3819,3.3995,0.1352,0.4533
03-Jan-07,1.1536,0.3026,2.2562,3.361,0.2411,2.8468,0.273,0.5896,0.6676,0.8974,0.2493,1.4042,0.0822,3.9085,1.7135,1.4766,1.3545,0.3004,1.2178,0.1441,0.4666,0.1857,0.4063,1.1185,5.9272,0.2195,0.2204,0.0387,1.208,0.065,1.9662,0.8001,1.4421,0.3295,3.1968,6.5142,1.3309,0.4715,0.5001,1.3819,3.3995,0.1352,0.4533
04-Jan-07,1.1536,0.3026,2.2562,3.361,0.2411,2.8468,0.273,0.5896,0.6676,0.8974,0.2493,1.4042,0.0822,3.9085,1.7135,1.4766,1.3545,0.3004,1.2178,0.1441,0.4666,0.1857,0.4063,1.1185,5.9272,0.2195,0.2204,0.0387,1.208,0.065,1.9662,0.8001,1.4421,0.3295,3.1968,6.5142,1.3309,0.4715,0.5001,1.3819,3.3995,0.1352,0.4533
05-Jan-07,1.1506,0.302,2.25,3.3328,0.2447,2.8132,0.2725,0.5854,0.6673,0.8923,0.2491,1.3937,0.0817,3.8979,1.7135,1.4598,1.3489,0.3005,1.2148,0.1435,0.4666,0.1857,0.408,1.1167,5.9278,0.2193,0.22,0.0386,1.201,0.0651,1.9664,0.8001,1.4382,0.3295,3.2391,6.5896,1.3232,0.4714,0.5001,1.3818,3.4032,0.1354,0.4533
06-Jan-07,1.1467,0.3009,2.2426,3.3252,0.244,2.7973,0.2705,0.5756,0.6587,0.8817,0.2469,1.394,0.081,3.8822,1.7136,1.456,1.3412,0.3005,1.1983,0.145,0.4666,0.1857,0.4052,1.1169,5.9282,0.2195,0.22,0.0387,1.1874,0.0651,1.9665,0.8002,1.4335,0.3295,3.209,6.5375,1.3131,0.4714,0.4996,1.3819,3.4068,0.1362,0.4533
07-Jan-07,1.1467,0.3009,2.2426,3.3252,0.244,2.7973,0.2705,0.5756,0.6587,0.8817,0.2469,1.394,0.081,3.8822,1.7136,1.456,1.3412,0.3005,1.1983,0.145,0.4666,0.1857,0.4052,1.1169,5.9282,0.2195,0.22,0.0387,1.1874,0.0651,1.9665,0.8002,1.4335,0.3295,3.209,6.5375,1.3131,0.4714,0.4996,1.3819,3.4068,0.1362,0.4533
08-Jan-07,1.1467,0.3009,2.2426,3.3252,0.244,2.7973,0.2705,0.5756,0.6587,0.8817,0.2469,1.394,0.081,3.8822,1.7136,1.456,1.3412,0.3005,1.1983,0.145,0.4666,0.1857,0.4052,1.1169,5.9282,0.2195,0.22,0.0387,1.1874,0.0651,1.9665,0.8002,1.4335,0.3295,3.209,6.5375,1.3131,0.4714,0.4996,1.3819,3.4068,0.1362,0.4533
09-Jan-07,1.1385,0.2993,2.2304,3.3145,0.2428,2.782,0.27,0.5747,0.6573,0.8762,0.246,1.3879,0.0806,3.909,1.7137,1.4615,1.336,0.3018,1.1798,0.1448,0.4666,0.1857,0.4044,1.1148,5.9285,0.2193,0.2199,0.0386,1.1758,0.0651,1.9666,0.8002,1.4257,0.3296,3.1996,6.4602,1.3072,0.4702,0.4995,1.3819,3.3935,0.136,0.4495
10-Jan-07,1.1422,0.2998,2.2333,3.3292,0.2426,2.797,0.2703,0.5791,0.6608,0.883,0.2453,1.3855,0.0811,3.8649,1.7137,1.458,1.3415,0.3006,1.2009,0.1439,0.4666,0.1857,0.4046,1.1162,5.9283,0.2195,0.2198,0.0385,1.1873,0.0648,1.9666,0.8002,1.4281,0.3296,3.1735,6.451,1.3072,0.4694,0.4994,1.3808,3.3935,0.1367,0.4534
11-Jan-07,1.138,0.2986,2.2255,3.3267,0.2399,2.7776,0.2696,0.5727,0.6541,0.8724,0.2445,1.3791,0.0804,3.8521,1.7138,1.4577,1.3369,0.3008,1.1852,0.1436,0.4666,0.1858,0.4039,1.1155,5.9291,0.2195,0.2198,0.0385,1.183,0.0647,1.9667,0.8003,1.4227,0.3296,3.1796,6.473,1.3112,0.4694,0.4994,1.3809,3.3977,0.1366,0.4534
12-Jan-07,1.1353,0.2979,2.22,3.3133,0.2347,2.7717,0.2663,0.5734,0.6531,0.8711,0.2427,1.3743,0.0803,3.8394,1.7139,1.4596,1.3396,0.3008,1.1914,0.1425,0.4667,0.1858,0.4041,1.1123,5.9292,0.2199,0.2198,0.0384,1.1793,0.0646,1.9668,0.8003,1.419,0.3296,3.168,6.4493,1.3164,0.4663,0.4995,1.381,3.3959,0.1364,0.451
13-Jan-07,1.1312,0.2968,2.2118,3.3363,0.2387,2.7688,0.2649,0.5715,0.651,0.8724,0.2424,1.3711,0.08,3.8291,1.7139,1.4558,1.3377,0.3008,1.1977,0.1423,0.4667,0.1858,0.4052,1.1092,5.9292,0.2198,0.2198,0.0385,1.1834,0.0645,1.9668,0.8003,1.414,0.3296,3.1622,6.4362,1.3184,0.4663,0.4993,1.381,3.3918,0.1367,0.4498
14-Jan-07,1.1312,0.2968,2.2118,3.3363,0.2387,2.7688,0.2649,0.5715,0.651,0.8724,0.2424,1.3711,0.08,3.8291,1.7139,1.4558,1.3377,0.3008,1.1977,0.1423,0.4667,0.1858,0.4052,1.1092,5.9292,0.2198,0.2198,0.0385,1.1834,0.0645,1.9668,0.8003,1.414,0.3296,3.1622,6.4362,1.3184,0.4663,0.4993,1.381,3.3918,0.1367,0.4498
15-Jan-07,1.1312,0.2968,2.2118,3.3363,0.2387,2.7688,0.2649,0.5715,0.651,0.8724,0.2424,1.3711,0.08,3.8291,1.7139,1.4558,1.3377,0.3008,1.1977,0.1423,0.4667,0.1858,0.4052,1.1092,5.9292,0.2198,0.2198,0.0385,1.1834,0.0645,1.9668,0.8003,1.414,0.3296,3.1622,6.4362,1.3184,0.4663,0.4993,1.381,3.3918,0.1367,0.4498
16-Jan-07,1.1335,0.2974,2.2164,3.3642,0.242,2.794,0.2664,0.5733,0.6536,0.8808,0.2443,1.3744,0.0798,3.8368,1.7139,1.4673,1.3464,0.3008,1.2002,0.1424,0.4667,0.1858,0.4071,1.112,5.9294,0.2199,0.2198,0.0387,1.1898,0.0645,1.9668,0.8003,1.4169,0.3296,3.1448,6.4102,1.3225,0.4663,0.4993,1.381,3.3872,0.137,0.4463
17-Jan-07,1.1359,0.2981,2.221,3.37,0.2442,2.7644,0.2668,0.5734,0.6559,0.8796,0.2447,1.3755,0.0801,3.8437,1.7139,1.4671,1.3423,0.301,1.204,0.1423,0.4667,0.1858,0.4065,1.1136,5.9286,0.2201,0.2197,0.0387,1.1936,0.0646,1.9668,0.8001,1.4198,0.3296,3.1506,6.4237,1.3204,0.4663,0.4993,1.3801,3.3858,0.1368,0.4463
18-Jan-07,1.1333,0.2974,2.2157,3.3699,0.2443,2.7603,0.2665,0.5689,0.6514,0.8716,0.245,1.3734,0.0795,3.8351,1.7139,1.4583,1.3437,0.3008,1.1969,0.1421,0.4667,0.1858,0.4055,1.1138,5.9294,0.2202,0.2197,0.0387,1.1822,0.0645,1.9668,0.8001,1.4163,0.3296,3.1564,6.4348,1.3204,0.467,0.4993,1.3801,3.3905,0.1372,0.4463
19-Jan-07,1.1366,0.2983,2.2225,3.3881,0.2443,2.7757,0.2672,0.5727,0.6559,0.8799,0.2445,1.3758,0.0799,3.8448,1.714,1.459,1.3515,0.3008,1.2045,0.1413,0.4667,0.1858,0.4067,1.1152,5.9298,0.2206,0.2196,0.0388,1.1912,0.0646,1.9672,0.8002,1.4213,0.3296,3.1565,6.4144,1.3205,0.4682,0.4993,1.3802,3.3893,0.1372,0.4446
20-Jan-07,1.1366,0.2983,2.2225,3.3881,0.2443,2.7757,0.2672,0.5727,0.6559,0.8799,0.2445,1.3758,0.0799,3.8448,1.714,1.459,1.3515,0.3008,1.2045,0.1413,0.4667,0.1858,0.4067,1.1152,5.9298,0.2206,0.2196,0.0388,1.1912,0.0646,1.9672,0.8002,1.4213,0.3296,3.1565,6.4144,1.3205,0.4682,0.4993,1.3802,3.3893,0.1372,0.4446
21-Jan-07,1.1366,0.2983,2.2225,3.3881,0.2443,2.7757,0.2672,0.5727,0.6559,0.8799,0.2445,1.3758,0.0799,3.8448,1.714,1.459,1.3515,0.3008,1.2045,0.1413,0.4667,0.1858,0.4067,1.1152,5.9298,0.2206,0.2196,0.0388,1.1912,0.0646,1.9672,0.8002,1.4213,0.3296,3.1565,6.4144,1.3205,0.4682,0.4993,1.3802,3.3893,0.1372,0.4446
22-Jan-07,1.1366,0.2983,2.2225,3.3881,0.2443,2.7757,0.2672,0.5727,0.6559,0.8799,0.2445,1.3758,0.0799,3.8448,1.714,1.459,1.3515,0.3008,1.2045,0.1413,0.4667,0.1858,0.4067,1.1152,5.9298,0.2206,0.2196,0.0388,1.1912,0.0646,1.9672,0.8002,1.4213,0.3296,3.1565,6.4144,1.3205,0.4682,0.4993,1.3802,3.3893,0.1372,0.4446
23-Jan-07,1.1365,0.2982,2.222,3.3831,0.2467,2.7914,0.2667,0.578,0.6578,0.883,0.2441,1.373,0.0799,3.8439,1.714,1.4616,1.3527,0.301,1.213,0.1412,0.4667,0.1858,0.4065,1.1152,5.9287,0.2204,0.2197,0.0388,1.1912,0.0646,1.9674,0.8002,1.4206,0.3296,3.1682,6.4455,1.3236,0.4722,0.4992,1.3802,3.387,0.1364,0.4446
24-Jan-07,1.1374,0.2984,2.2241,3.3965,0.2479,2.8095,0.2663,0.5765,0.6572,0.8798,0.2445,1.3749,0.0797,3.8465,1.714,1.4493,1.3527,0.3009,1.2122,0.1411,0.4667,0.1858,0.4059,1.1151,5.9289,0.2204,0.2197,0.0388,1.201,0.0646,1.9674,0.8003,1.4217,0.3296,3.1624,6.4383,1.3236,0.4735,0.4989,1.3798,3.3914,0.1362,0.4435
25-Jan-07,1.1392,0.2989,2.2272,3.3833,0.2492,2.8396,0.2677,0.5728,0.6557,0.875,0.2454,1.379,0.0794,3.8578,1.714,1.4508,1.3403,0.3009,1.21,0.142,0.4667,0.1858,0.4056,1.117,5.9275,0.2206,0.2197,0.0387,1.1933,0.0647,1.9674,0.8003,1.424,0.3296,3.1565,6.4383,1.3236,0.4743,0.4987,1.3798,3.3907,0.1364,0.4435
26-Jan-07,1.1386,0.2987,2.2268,3.3802,0.25,2.8387,0.2717,0.5749,0.6577,0.8794,0.2454,1.3759,0.0795,3.856,1.714,1.4565,1.3361,0.3011,1.2126,0.1422,0.4667,0.1858,0.4055,1.1173,5.9277,0.2206,0.2196,0.0387,1.2039,0.0647,1.9676,0.8003,1.4232,0.3296,3.18,6.4606,1.3266,0.4751,0.4986,1.3798,3.3907,0.1361,0.4435
27-Jan-07,1.1339,0.2975,2.2173,3.3704,0.2458,2.83,0.2704,0.5641,0.6499,0.8641,0.2436,1.3729,0.0787,3.8346,1.7175,1.4517,1.3275,0.3016,1.1994,0.1413,0.4676,0.1862,0.4052,1.1168,5.9396,0.2209,0.22,0.0389,1.195,0.0647,1.9716,0.8019,1.4172,0.3303,3.1688,6.4624,1.3293,0.4765,0.4996,1.3826,3.3963,0.136,0.4444
28-Jan-07,1.1339,0.2975,2.2173,3.3704,0.2458,2.83,0.2704,0.5641,0.6499,0.8641,0.2436,1.3729,0.0787,3.8346,1.7175,1.4517,1.3275,0.3016,1.1994,0.1413,0.4676,0.1862,0.4052,1.1168,5.9396,0.2209,0.22,0.0389,1.195,0.0647,1.9716,0.8019,1.4172,0.3303,3.1688,6.4624,1.3293,0.4765,0.4996,1.3826,3.3963,0.136,0.4444
29-Jan-07,1.1339,0.2975,2.2173,3.3704,0.2458,2.83,0.2704,0.5641,0.6499,0.8641,0.2436,1.3729,0.0787,3.8346,1.7175,1.4517,1.3275,0.3016,1.1994,0.1413,0.4676,0.1862,0.4052,1.1168,5.9396,0.2209,0.22,0.0389,1.195,0.0647,1.9716,0.8019,1.4172,0.3303,3.1688,6.4624,1.3293,0.4765,0.4996,1.3826,3.3963,0.136,0.4444
30-Jan-07,1.1351,0.2978,2.2191,3.3662,0.2477,2.8256,0.2718,0.5671,0.653,0.8683,0.2448,1.3695,0.0789,3.8402,1.7185,1.4572,1.3284,0.3018,1.2068,0.1411,0.4679,0.1863,0.4045,1.1166,5.9449,0.2211,0.22,0.0388,1.1966,0.0647,1.973,0.8024,1.4185,0.3305,3.159,6.4361,1.3291,0.4769,0.4998,1.3834,3.4003,0.1363,0.4446
31-Jan-07,1.1396,0.299,2.2283,3.3818,0.2502,2.8353,0.2731,0.5655,0.654,0.863,0.2471,1.3727,0.0789,3.8545,1.7199,1.4529,1.3291,0.302,1.2044,0.1411,0.4683,0.1864,0.4051,1.1181,5.9492,0.2212,0.2202,0.0391,1.1965,0.0648,1.9749,0.803,1.4246,0.3308,3.1558,6.4355,1.3302,0.4773,0.5002,1.3842,3.4057,0.1362,0.445
01-Feb-07,1.1378,0.2985,2.225,3.3597,0.2514,2.8223,0.2731,0.567,0.6538,0.8651,0.2461,1.3704,0.0788,3.8468,1.7199,1.4594,1.3254,0.3021,1.2129,0.1419,0.4683,0.1864,0.4032,1.1198,5.9479,0.2212,0.2203,0.0389,1.1776,0.0648,1.9753,0.8026,1.4222,0.3308,3.1732,6.4566,1.3302,0.4777,0.5002,1.3842,3.4078,0.1363,0.445
02-Feb-07,1.1456,0.3005,2.2402,3.3786,0.2518,2.8452,0.2757,0.5749,0.661,0.8792,0.2477,1.3836,0.0799,3.8754,1.7199,1.4594,1.3331,0.3021,1.2228,0.1426,0.4683,0.1864,0.4053,1.1208,5.9481,0.2217,0.2204,0.039,1.1811,0.0649,1.9758,0.8026,1.4322,0.3308,3.1732,6.4512,1.3312,0.4786,0.5001,1.3842,3.4044,0.1364,0.445
03-Feb-07,1.1442,0.3002,2.2378,3.3792,0.251,2.8484,0.2752,0.5737,0.6621,0.8774,0.247,1.3826,0.0796,3.869,1.719,1.4544,1.3272,0.302,1.2261,0.1421,0.4681,0.1863,0.405,1.1196,5.9448,0.2217,0.2202,0.0389,1.1687,0.0649,1.9747,0.8021,1.4304,0.3306,3.1892,6.4819,1.332,0.4784,0.5,1.3835,3.3993,0.1368,0.4448
04-Feb-07,1.1442,0.3002,2.2378,3.3792,0.251,2.8484,0.2752,0.5737,0.6621,0.8774,0.247,1.3826,0.0796,3.869,1.719,1.4544,1.3272,0.302,1.2261,0.1421,0.4681,0.1863,0.405,1.1196,5.9448,0.2217,0.2202,0.0389,1.1687,0.0649,1.9747,0.8021,1.4304,0.3306,3.1892,6.4819,1.332,0.4784,0.5,1.3835,3.3993,0.1368,0.4448
05-Feb-07,1.1442,0.3002,2.2378,3.3792,0.251,2.8484,0.2752,0.5737,0.6621,0.8774,0.247,1.3826,0.0796,3.869,1.719,1.4544,1.3272,0.302,1.2261,0.1421,0.4681,0.1863,0.405,1.1196,5.9448,0.2217,0.2202,0.0389,1.1687,0.0649,1.9747,0.8021,1.4304,0.3306,3.1892,6.4819,1.332,0.4784,0.5,1.3835,3.3993,0.1368,0.4448
06-Feb-07,1.1399,0.2991,2.229,3.3814,0.2505,2.8365,0.2747,0.5736,0.659,0.8755,0.2465,1.3787,0.0792,3.8511,1.7195,1.4536,1.3323,0.302,1.23,0.1426,0.4682,0.1864,0.4049,1.1206,5.9465,0.2217,0.2202,0.039,1.1789,0.0648,1.9753,0.8024,1.4249,0.3307,3.1843,6.4826,1.3345,0.4792,0.5,1.3839,3.4023,0.1371,0.4449
07-Feb-07,1.1353,0.298,2.2203,3.3719,0.2511,2.8196,0.2732,0.5746,0.6592,0.8755,0.2429,1.3761,0.0791,3.8374,1.718,1.4529,1.3313,0.3017,1.2267,0.1426,0.4678,0.1861,0.4039,1.1205,5.9416,0.2215,0.22,0.039,1.1737,0.0647,1.9743,0.8017,1.4197,0.3304,3.1639,6.4458,1.3344,0.4781,0.4996,1.3827,3.3966,0.1368,0.4445
08-Feb-07,1.1398,0.299,2.2284,3.3834,0.2522,2.7933,0.2753,0.5768,0.6624,0.882,0.2444,1.3834,0.0793,3.8495,1.7165,1.4518,1.3353,0.3017,1.2291,0.1425,0.4674,0.1859,0.4058,1.1209,5.9362,0.2216,0.2197,0.0389,1.1722,0.0648,1.9728,0.8006,1.4246,0.3301,3.1553,6.4262,1.3353,0.4779,0.4991,1.3811,3.3977,0.1367,0.4441
09-Feb-07,1.1399,0.2991,2.2288,3.3746,0.2522,2.7964,0.2751,0.5761,0.6622,0.8814,0.2448,1.3757,0.0792,3.8542,1.7155,1.4468,1.3374,0.3016,1.224,0.1416,0.4671,0.1858,0.4043,1.1188,5.9345,0.2214,0.2195,0.0389,1.1772,0.065,1.9721,0.8001,1.425,0.3299,3.1651,6.4512,1.3376,0.4773,0.4988,1.3803,3.399,0.137,0.4439
10-Feb-07,1.14,0.2991,2.2292,3.3426,0.2521,2.7965,0.2756,0.5744,0.6597,0.8811,0.2453,1.3725,0.079,3.8545,1.7145,1.4481,1.3351,0.3011,1.2282,0.1412,0.4668,0.1857,0.4058,1.1187,5.9292,0.2212,0.2194,0.0389,1.1701,0.0651,1.9709,0.7994,1.4251,0.3297,3.175,6.4581,1.3468,0.4786,0.4985,1.3795,3.4011,0.1375,0.4436
11-Feb-07,1.14,0.2991,2.2292,3.3426,0.2521,2.7965,0.2756,0.5744,0.6597,0.8811,0.2453,1.3725,0.079,3.8545,1.7145,1.4481,1.3351,0.3011,1.2282,0.1412,0.4668,0.1857,0.4058,1.1187,5.9292,0.2212,0.2194,0.0389,1.1701,0.0651,1.9709,0.7994,1.4251,0.3297,3.175,6.4581,1.3468,0.4786,0.4985,1.3795,3.4011,0.1375,0.4436
12-Feb-07,1.14,0.2991,2.2292,3.3426,0.2521,2.7965,0.2756,0.5744,0.6597,0.8811,0.2453,1.3725,0.079,3.8545,1.7145,1.4481,1.3351,0.3011,1.2282,0.1412,0.4668,0.1857,0.4058,1.1187,5.9292,0.2212,0.2194,0.0389,1.1701,0.0651,1.9709,0.7994,1.4251,0.3297,3.175,6.4581,1.3468,0.4786,0.4985,1.3795,3.4011,0.1375,0.4436
13-Feb-07,1.1396,0.299,2.228,3.3413,0.2526,2.7957,0.2741,0.5712,0.6573,0.8775,0.2446,1.372,0.0788,3.8514,1.7135,1.4618,1.3256,0.3011,1.2204,0.1406,0.4666,0.1855,0.4055,1.1172,5.9274,0.2209,0.2193,0.0388,1.1743,0.065,1.9698,0.7989,1.4244,0.3295,3.179,6.4541,1.3471,0.4792,0.4983,1.3787,3.4025,0.1377,0.442
14-Feb-07,1.1382,0.2986,2.2257,3.3409,0.2518,2.7919,0.2756,0.5686,0.6561,0.8742,0.2435,1.3704,0.0788,3.8477,1.713,1.4591,1.3252,0.3012,1.2188,0.1411,0.4664,0.1855,0.4046,1.111,5.9243,0.2208,0.2192,0.0388,1.1732,0.0649,1.9694,0.7987,1.4227,0.3294,3.1781,6.4629,1.3552,0.4796,0.4981,1.3779,3.4178,0.1381,0.4419
15-Feb-07,1.1448,0.3005,2.2385,3.3382,0.2528,2.8203,0.2766,0.5726,0.6617,0.8839,0.2444,1.3758,0.0793,3.8664,1.7105,1.4651,1.3371,0.3006,1.2244,0.1411,0.4657,0.1852,0.4049,1.1134,5.917,0.2205,0.2189,0.0387,1.1816,0.065,1.9668,0.7976,1.431,0.3289,3.1559,6.4392,1.3527,0.4802,0.4974,1.3759,3.4111,0.1381,0.4413
16-Feb-07,1.1491,0.3015,2.2474,3.3611,0.254,2.8295,0.2782,0.5771,0.666,0.8927,0.245,1.3832,0.0796,3.884,1.7105,1.4699,1.3421,0.3004,1.2368,0.1426,0.4658,0.1852,0.4058,1.1156,5.917,0.2206,0.219,0.0388,1.1883,0.0652,1.9668,0.7976,1.4365,0.3289,3.1735,6.4801,1.3527,0.4808,0.4974,1.3759,3.4142,0.1379,0.4413
17-Feb-07,1.1486,0.3013,2.2455,3.3339,0.2536,2.8174,0.2793,0.575,0.6652,0.8896,0.2433,1.385,0.0795,3.8831,1.7105,1.4684,1.3421,0.3006,1.2346,0.1434,0.4659,0.1852,0.4075,1.1151,5.917,0.2207,0.2189,0.0388,1.1883,0.0652,1.967,0.7976,1.4356,0.3289,3.1972,6.4801,1.3554,0.4818,0.4974,1.3759,3.4135,0.1374,0.4413
18-Feb-07,1.1486,0.3013,2.2455,3.3339,0.2536,2.8174,0.2793,0.575,0.6652,0.8896,0.2433,1.385,0.0795,3.8831,1.7105,1.4684,1.3421,0.3006,1.2346,0.1434,0.4659,0.1852,0.4075,1.1151,5.917,0.2207,0.2189,0.0388,1.1883,0.0652,1.967,0.7976,1.4356,0.3289,3.1972,6.4801,1.3554,0.4818,0.4974,1.3759,3.4135,0.1374,0.4413
19-Feb-07,1.1486,0.3013,2.2455,3.3339,0.2536,2.8174,0.2793,0.575,0.6652,0.8896,0.2433,1.385,0.0795,3.8831,1.7105,1.4684,1.3421,0.3006,1.2346,0.1434,0.4659,0.1852,0.4075,1.1151,5.917,0.2207,0.2189,0.0388,1.1883,0.0652,1.967,0.7976,1.4356,0.3289,3.1972,6.4801,1.3554,0.4818,0.4974,1.3759,3.4135,0.1374,0.4413
20-Feb-07,1.1495,0.3016,2.2478,3.3374,0.2559,2.8233,0.2798,0.5766,0.6671,0.8933,0.2431,1.3864,0.0796,3.8849,1.7105,1.4696,1.3462,0.3006,1.2355,0.143,0.4658,0.1852,0.4092,1.1172,5.9156,0.2207,0.2189,0.0388,1.1975,0.0653,1.9674,0.7976,1.4369,0.3289,3.1972,6.504,1.3586,0.4824,0.4974,1.3759,3.4067,0.1374,0.4423
21-Feb-07,1.1493,0.3015,2.2471,3.3323,0.2576,2.8294,0.2799,0.5779,0.6664,0.8939,0.2436,1.3822,0.0801,3.8837,1.71,1.4677,1.3425,0.3007,1.24,0.1425,0.4657,0.1852,0.4091,1.1159,5.9153,0.2207,0.2189,0.0387,1.1967,0.0653,1.9669,0.7974,1.4366,0.3288,3.2022,6.5148,1.3582,0.4827,0.4973,1.3751,3.4098,0.1373,0.4421
22-Feb-07,1.15,0.3017,2.249,3.3461,0.2571,2.8349,0.2792,0.5781,0.6653,0.8924,0.2426,1.3828,0.08,3.8846,1.71,1.4609,1.3494,0.3004,1.2364,0.1418,0.4657,0.1853,0.4086,1.1156,5.9139,0.2207,0.2189,0.0387,1.2032,0.0653,1.9669,0.7974,1.4376,0.3288,3.2083,6.5168,1.3539,0.4832,0.4972,1.3751,3.4071,0.1373,0.4421
23-Feb-07,1.1453,0.3005,2.2396,3.3302,0.256,2.8199,0.2781,0.5777,0.6643,0.8914,0.2412,1.3766,0.0794,3.8705,1.71,1.4708,1.3478,0.3005,1.2368,0.1412,0.4657,0.1852,0.4093,1.1148,5.9135,0.2207,0.2189,0.0386,1.2032,0.0651,1.9673,0.7974,1.4316,0.3288,3.1963,6.5148,1.3454,0.4833,0.4972,1.3751,3.4064,0.1376,0.4421
24-Feb-07,1.1489,0.3015,2.2472,3.3538,0.2581,2.8293,0.2789,0.5792,0.6662,0.8899,0.2419,1.3828,0.0794,3.8831,1.714,1.4754,1.3518,0.3012,1.2402,0.1412,0.4668,0.1857,0.4093,1.118,5.9267,0.2214,0.2195,0.0387,1.2068,0.0653,1.9719,0.7993,1.4368,0.3296,3.1966,6.5191,1.3459,0.4846,0.4985,1.3783,3.3974,0.1376,0.4461
25-Feb-07,1.1489,0.3015,2.2472,3.3538,0.2581,2.8293,0.2789,0.5792,0.6662,0.8899,0.2419,1.3828,0.0794,3.8831,1.714,1.4754,1.3518,0.3012,1.2402,0.1412,0.4668,0.1857,0.4093,1.118,5.9267,0.2214,0.2195,0.0387,1.2068,0.0653,1.9719,0.7993,1.4368,0.3296,3.1966,6.5191,1.3459,0.4846,0.4985,1.3783,3.3974,0.1376,0.4461
26-Feb-07,1.1489,0.3015,2.2472,3.3538,0.2581,2.8293,0.2789,0.5792,0.6662,0.8899,0.2419,1.3828,0.0794,3.8831,1.714,1.4754,1.3518,0.3012,1.2402,0.1412,0.4668,0.1857,0.4093,1.118,5.9267,0.2214,0.2195,0.0387,1.2068,0.0653,1.9719,0.7993,1.4368,0.3296,3.1966,6.5191,1.3459,0.4846,0.4985,1.3783,3.3974,0.1376,0.4461
27-Feb-07,1.1544,0.3029,2.257,3.3684,0.2583,2.8398,0.2798,0.5814,0.6689,0.8927,0.2429,1.3929,0.0797,3.901,1.7141,1.4798,1.3572,0.3011,1.2372,0.142,0.4668,0.1857,0.4093,1.1215,5.9289,0.2213,0.2195,0.0388,1.2134,0.0655,1.9723,0.7993,1.4432,0.3296,3.2039,6.5175,1.3418,0.4847,0.4985,1.3784,3.401,0.1386,0.4465
28-Feb-07,1.1588,0.3041,2.266,3.3691,0.2612,2.8395,0.2815,0.5794,0.6705,0.8942,0.2449,1.4007,0.0797,3.9154,1.713,1.4774,1.3608,0.3009,1.2293,0.1434,0.4665,0.1856,0.4084,1.123,5.9243,0.2212,0.2193,0.0388,1.2128,0.0655,1.9712,0.7988,1.4479,0.3294,3.2139,6.5384,1.3404,0.485,0.4982,1.3772,3.3961,0.1385,0.4462
01-Mar-07,1.155,0.303,2.2581,3.3457,0.2569,2.8325,0.2784,0.5762,0.6648,0.8818,0.2437,1.3999,0.0797,3.9027,1.7125,1.4662,1.3474,0.3009,1.2009,0.1445,0.4664,0.1855,0.4052,1.1202,5.9229,0.2213,0.2193,0.0387,1.1974,0.0655,1.9711,0.7986,1.4437,0.3293,3.2129,6.5315,1.341,0.4847,0.498,1.3768,3.3904,0.1374,0.4461
02-Mar-07,1.1577,0.304,2.264,3.3549,0.2586,2.8449,0.2794,0.5801,0.6672,0.8895,0.2443,1.4031,0.0802,3.912,1.7115,1.4652,1.347,0.3008,1.216,0.1445,0.4661,0.1854,0.4062,1.1202,5.9193,0.2211,0.2191,0.0387,1.2001,0.0655,1.97,0.7981,1.4473,0.3291,3.2171,6.5467,1.3455,0.484,0.4977,1.376,3.3911,0.1372,0.4458
03-Mar-07,1.1515,0.3023,2.252,3.3413,0.2563,2.7977,0.2779,0.5787,0.6644,0.8895,0.2423,1.3966,0.0801,3.8875,1.7105,1.4612,1.3386,0.3006,1.2063,0.1454,0.4659,0.1853,0.4067,1.1211,5.916,0.2209,0.219,0.0386,1.1772,0.0654,1.9693,0.7976,1.4394,0.3289,3.2152,6.5544,1.3469,0.4832,0.4974,1.3752,3.3938,0.1366,0.4456
04-Mar-07,1.1515,0.3023,2.252,3.3413,0.2563,2.7977,0.2779,0.5787,0.6644,0.8895,0.2423,1.3966,0.0801,3.8875,1.7105,1.4612,1.3386,0.3006,1.2063,0.1454,0.4659,0.1853,0.4067,1.1211,5.916,0.2209,0.219,0.0386,1.1772,0.0654,1.9693,0.7976,1.4394,0.3289,3.2152,6.5544,1.3469,0.4832,0.4974,1.3752,3.3938,0.1366,0.4456
