Date,BGN,DKK,EUR,GBP,ISK,CSD,NOK,PLN,ROL,RON,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,RUB,AZM,BYR,EEK,TMM,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS
01-Jan-05,1.2736,0.3348,2.4901,3.5201,0.2978,3.1511,0.3023,0.6114,0.6288,,1.0141,0.2762,1.613,0.0819,1.8256,1.5168,1.4221,0.3008,1.3649,0.178,0.4971,0.2075,0.4241,1.1187,6.1956,0.2206,0.2348,0.0658,0.3723,0.8394,1.5923,0.3511,3.538,7.203,1.4782,0.3758,0.6011,1.7255,3.438,0.1405,0.4386
02-Jan-05,1.2736,0.3348,2.4901,3.5201,0.2978,3.1511,0.3023,0.6114,0.6288,,1.0141,0.2762,1.613,0.0819,1.8256,1.5168,1.4221,0.3008,1.3649,0.178,0.4971,0.2075,0.4241,1.1187,6.1956,0.2206,0.2348,0.0658,0.3723,0.8394,1.5923,0.3511,3.538,7.203,1.4782,0.3758,0.6011,1.7255,3.438,0.1405,0.4386
03-Jan-05,1.2736,0.3348,2.4901,3.5201,0.2978,3.1511,0.3023,0.6114,0.6288,,1.0141,0.2762,1.613,0.0819,1.8256,1.5168,1.4221,0.3008,1.3649,0.178,0.4971,0.2075,0.4241,1.1187,6.1956,0.2206,0.2348,0.0658,0.3723,0.8394,1.5923,0.3511,3.538,7.203,1.4782,0.3758,0.6011,1.7255,3.438,0.1405,0.4386
04-Jan-05,1.2736,0.3348,2.4901,3.5201,0.2978,3.1511,0.3023,0.6114,0.6288,,1.0141,0.2762,1.613,0.0819,1.8256,1.5168,1.4221,0.3008,1.3649,0.178,0.4971,0.2075,0.4241,1.1187,6.1956,0.2206,0.2348,0.0658,0.3723,0.8394,1.5923,0.3511,3.538,7.203,1.4782,0.3758,0.6011,1.7255,3.438,0.1405,0.4386
05-Jan-05,1.2736,0.3348,2.4901,3.5201,0.2978,3.1511,0.3023,0.6114,0.6288,,1.0141,0.2762,1.613,0.0819,1.8256,1.5168,1.4221,0.3008,1.3649,0.178,0.4971,0.2075,0.4241,1.1187,6.1956,0.2206,0.2348,0.0658,0.3723,0.8394,1.5923,0.3511,3.538,7.203,1.4782,0.3758,0.6011,1.7255,3.438,0.1405,0.4386
06-Jan-05,1.2736,0.3348,2.4901,3.5201,0.2978,3.1511,0.3023,0.6114,0.6288,,1.0141,0.2762,1.613,0.0819,1.8256,1.5168,1.4221,0.3008,1.3649,0.178,0.4971,0.2075,0.4241,1.1187,6.1956,0.2206,0.2348,0.0658,0.3723,0.8394,1.5923,0.3511,3.538,7.203,1.4782,0.3758,0.6011,1.7255,3.438,0.1405,0.4386
07-Jan-05,1.2077,0.3175,2.3615,3.3528,0.2844,2.9864,0.2857,0.5726,0.6121,,0.9553,0.2615,1.5229,0.0776,1.79,1.4561,1.3584,0.3019,1.2777,0.171,0.4874,0.203,0.4078,1.0837,6.1322,0.2163,0.2297,0.0645,0.365,0.823,1.5094,0.3442,3.3837,6.8738,1.4482,0.3683,0.5894,1.6909,3.3735,0.1377,0.4386
08-Jan-05,1.2077,0.3175,2.3615,3.3528,0.2844,2.9864,0.2857,0.5726,0.6121,,0.9553,0.2615,1.5229,0.0776,1.79,1.4561,1.3584,0.3019,1.2777,0.171,0.4874,0.203,0.4078,1.0837,6.1322,0.2163,0.2297,0.0645,0.365,0.823,1.5094,0.3442,3.3837,6.8738,1.4482,0.3683,0.5894,1.6909,3.3735,0.1377,0.4386
09-Jan-05,1.2077,0.3175,2.3615,3.3528,0.2844,2.9864,0.2857,0.5726,0.6121,,0.9553,0.2615,1.5229,0.0776,1.79,1.4561,1.3584,0.3019,1.2777,0.171,0.4874,0.203,0.4078,1.0837,6.1322,0.2163,0.2297,0.0645,0.365,0.823,1.5094,0.3442,3.3837,6.8738,1.4482,0.3683,0.5894,1.6909,3.3735,0.1377,0.4386
10-Jan-05,1.2077,0.3175,2.3615,3.3528,0.2844,2.9864,0.2857,0.5726,0.6121,,0.9553,0.2615,1.5229,0.0776,1.79,1.4561,1.3584,0.3019,1.2777,0.171,0.4874,0.203,0.4078,1.0837,6.1322,0.2163,0.2297,0.0645,0.365,0.823,1.5094,0.3442,3.3837,6.8738,1.4482,0.3683,0.5894,1.6909,3.3735,0.1377,0.4386
11-Jan-05,1.2151,0.3195,2.376,3.3986,0.2859,3.0203,0.2887,0.5831,0.6156,,0.9578,0.2628,1.5371,0.0784,1.815,1.4773,1.3741,0.3066,1.31,0.1735,0.4942,0.2055,0.4145,1.1021,6.2166,0.2193,0.2328,0.0654,0.3702,0.8349,1.5194,0.349,3.4053,6.9354,1.4696,0.3667,0.5976,1.7145,3.423,0.1396,0.4445
12-Jan-05,1.2202,0.3208,2.3861,3.407,0.2866,3.0006,0.2907,0.5873,0.6204,,0.9655,0.264,1.5438,0.0788,1.8155,1.4884,1.3836,0.3072,1.317,0.1744,0.4943,0.2056,0.4165,1.1059,6.2185,0.2194,0.2329,0.0649,0.3704,0.8347,1.5258,0.3491,3.3745,6.8798,1.4665,0.365,0.5978,1.7121,3.4222,0.1397,0.4446
13-Jan-05,1.2114,0.3185,2.3686,3.386,0.2868,3,0.2889,0.5828,0.6247,,0.9564,0.2619,1.5296,0.078,1.81,1.483,1.3687,0.307,1.3125,0.1749,0.4929,0.2054,0.4143,1.1027,6.2005,0.2187,0.2322,0.0649,0.3693,0.8329,1.5143,0.3481,3.3832,6.885,1.4597,0.3622,0.596,1.707,3.4061,0.1393,0.4433
14-Jan-05,1.2274,0.3227,2.4,3.4249,0.2893,2.9868,0.2929,0.5904,0.6303,,0.9729,0.2652,1.5511,0.0791,1.815,1.5094,1.3879,0.3081,1.338,0.1773,0.4942,0.2055,0.4172,1.1132,6.2177,0.2193,0.2329,0.0651,0.3702,0.8347,1.5343,0.349,3.3862,6.8962,1.4614,0.3621,0.5976,1.7117,3.42,0.1396,0.4445
15-Jan-05,1.2192,0.3205,2.384,3.3985,0.2905,3.0222,0.2916,0.5859,0.6266,,0.9648,0.2636,1.5383,0.0784,1.82,1.5005,1.3799,0.309,1.3422,0.177,0.4956,0.2061,0.4172,1.1094,6.2348,0.2199,0.2335,0.0651,0.3712,0.8374,1.5243,0.35,3.434,6.9844,1.463,0.3627,0.5993,1.7164,3.4301,0.1401,0.4457
16-Jan-05,1.2192,0.3205,2.384,3.3985,0.2905,3.0222,0.2916,0.5859,0.6266,,0.9648,0.2636,1.5383,0.0784,1.82,1.5005,1.3799,0.309,1.3422,0.177,0.4956,0.2061,0.4172,1.1094,6.2348,0.2199,0.2335,0.0651,0.3712,0.8374,1.5243,0.35,3.434,6.9844,1.463,0.3627,0.5993,1.7164,3.4301,0.1401,0.4457
17-Jan-05,1.2192,0.3205,2.384,3.3985,0.2905,3.0222,0.2916,0.5859,0.6266,,0.9648,0.2636,1.5383,0.0784,1.82,1.5005,1.3799,0.309,1.3422,0.177,0.4956,0.2061,0.4172,1.1094,6.2348,0.2199,0.2335,0.0651,0.3712,0.8374,1.5243,0.35,3.434,6.9844,1.463,0.3627,0.5993,1.7164,3.4301,0.1401,0.4457
18-Jan-05,1.2166,0.3199,2.379,3.3957,0.2901,2.9913,0.2901,0.5842,0.636,,0.9655,0.2625,1.5402,0.0782,1.815,1.4958,1.3774,0.3115,1.3565,0.1781,0.4942,0.2053,0.4163,1.1115,6.2177,0.2193,0.2328,0.0649,0.3703,0.8345,1.5211,0.349,3.3862,6.8972,1.4602,0.3617,0.597,1.7099,3.4219,0.1397,0.4439
19-Jan-05,1.2122,0.3187,2.3704,3.3825,0.2919,2.9926,0.2903,0.5815,0.6329,,0.9624,0.2618,1.5339,0.0781,1.82,1.4867,1.3688,0.3126,1.3527,0.1771,0.4956,0.206,0.417,1.112,6.235,0.2199,0.2334,0.0647,0.3714,0.837,1.5157,0.35,3.3955,6.9144,1.4595,0.3644,0.5987,1.7146,3.4301,0.14,0.4451
20-Jan-05,1.2122,0.3187,2.3704,3.3825,0.2919,2.9926,0.2903,0.5815,0.6329,,0.9624,0.2618,1.5339,0.0781,1.82,1.4867,1.3688,0.3126,1.3527,0.1771,0.4956,0.206,0.417,1.112,6.235,0.2199,0.2334,0.0647,0.3714,0.837,1.5157,0.35,3.3955,6.9144,1.4595,0.3644,0.5987,1.7146,3.4301,0.14,0.4451
21-Jan-05,1.2087,0.3179,2.3633,3.3948,0.2905,2.9757,0.2894,0.5756,0.6309,,0.9584,0.2618,1.5333,0.078,1.82,1.48,1.3821,0.3131,1.3582,0.177,0.4956,0.2058,0.4171,1.1118,6.235,0.2199,0.2334,0.0646,0.3713,0.8368,1.5108,0.35,3.3704,6.8793,1.4583,0.3688,0.5987,1.7146,3.4281,0.14,0.4451
22-Jan-05,1.2117,0.3185,2.3696,3.4009,0.2914,2.9536,0.2887,0.5799,0.6182,,0.9602,0.2619,1.5327,0.0781,1.825,1.4885,1.3932,0.314,1.3569,0.176,0.497,0.2063,0.4182,1.1145,6.2519,0.2205,0.234,0.0648,0.3723,0.839,1.5146,0.351,3.3796,6.8681,1.4635,0.3732,0.6003,1.7193,3.4369,0.1403,0.4396
